"#","g#","Cover","Album","Streams","Daily"
"","1,631","","While We Wait Kehlani","852,654,751","345,450"
"","1,632","","Entren Los Que Quieran Calle 13","852,361,409","445,309"
"","1,633","","Vibes Vacations","851,579,169","968,340"
"","1,634","","Tudo Em Paz Jorge & Mateus","851,141,728","145,446"
"","1,635","","Automatic For The People R.E.M.","851,014,052","412,264"
"","1,636","","Mi Sangre Juanes","850,820,632","680,496"
"","1,637","","Onepointfive Aminé","850,093,439","252,182"
"","1,638","","Songs In The Key Of Life Stevie Wonder","849,238,104","380,884"
"","1,639","","ABBA ABBA","849,147,414","616,386"
"","1,640","","O Embaixador In Cariri (Ao Vivo) Gusttavo Lima","849,104,409","63,187"
"","1,641","","Toto Toto","848,898,453","985,089"
"","1,642","","Anything Goes Florida Georgia Line","848,602,774","154,922"
"","1,643","","Home State Jordan Davis","848,584,532","325,894"
"","1,644","","She Is Coming Miley Cyrus","848,414,706","206,420"
"","1,645","","My Kinda Party Jason Aldean","847,825,048","326,803"
"","1,646","","Whitesnake (1987) Whitesnake","847,639,898","382,255"
"","1,647","","Simply Deep Kelly Rowland","847,632,264","486,631"
"","1,648","","High School Musical 2 Various Artists","847,502,264","352,743"
"","1,649","","Hey U X Benee","846,295,977","155,596"
"","1,650","","Faith George Michael","846,012,468","441,660"
"","1,651","","Sin Bandera Sin Bandera","845,362,972","593,715"
"","1,652","","Lights Ellie Goulding","845,334,310","227,564"
"","1,653","","Palmen Aus Plastik 2 Bonez MC & RAF Camora","844,593,650","179,563"
"","1,654","","Battleground The Wanted","844,235,319","466,156"
"","1,655","","Talking Dreams Echosmith","843,929,386","189,397"
"","1,656","","CKay The First CKay","842,835,602","372,308"
"","1,657","","Quavo Huncho Quavo","842,592,407","125,029"
"","1,658","","Loyalty Over Royalty CJ","841,843,946","243,649"
"","1,659","","Bangarang Skrillex","841,716,647","223,705"
"","1,660","","The Number Of The Beast Iron Maiden","841,406,169","376,293"
"","1,661","","Look Sharp! Roxette","839,738,361","444,533"
"","1,662","","Cheese Stromae","839,318,225","442,164"
"","1,663","","Poison / Antidote Dadju","838,703,565","411,415"
"","1,664","","Wellerman - The Album Nathan Evans","838,487,627","450,660"
"","1,665","","I Want To Die In New Orleans Suicideboys","838,401,216","386,104"
"","1,666","","Broken By Desire To Be Heavenly Sent Lewis Capaldi","838,133,021","1,499,039"
"","1,667","","Picture Show Neon Trees","837,120,991","479,397"
"","1,668","","31 Minutes To Takeoff Mike Posner","837,002,921","481,095"
"","1,669","","Agent Provocateur Foreigner","836,849,948","559,757"
"","1,670","","Sixdo Feid","836,784,581","942,570"
"","1,671","","Sad Boyz 4 Life II Junior H","836,291,867","5,089,228"
"","1,672","","Con Todas Las Fuerzas Banda MS De Sergio Lizárraga","836,245,475","232,115"
"","1,673","","Próximo Passo (Ao Vivo) Hugo & Guilherme","836,092,569","316,723"
"","1,674","","Sixpence None The Richer Sixpence None The Richer","835,867,410","869,105"
"","1,675","","Gentleman 2.0 Dadju","835,705,626","444,112"
"","1,676","","Swan Songs Hollywood Undead","835,112,649","366,379"
"","1,677","","Around The Fur Deftones","834,472,552","1,167,383"
"","1,678","","The Fray The Fray","834,468,750","333,532"
"","1,679","","Tell Me I'm Pretty Cage The Elephant","834,262,918","414,959"
"","1,680","","Clouds NF","833,791,516","432,347"
"","1,681","","Alfa & Omega Alfredo Olivas","833,428,435","2,035,703"
"","1,682","","Sunshine On Leith The Proclaimers","833,115,580","380,956"
"","1,683","","Shakira. Shakira","832,849,325","443,472"
"","1,684","","Non Stop Erotic Cabaret Soft Cell","832,519,681","583,023"
"","1,685","","Sounds Good Feels Good 5 Seconds of Summer","831,988,686","168,292"
"","1,686","","Goodbye Lullaby Avril Lavigne","831,660,832","386,561"
"","1,687","","Cruisin' With Junior H Junior H","831,231,100","777,881"
"","1,688","","Don't You Fake It The Red Jumpsuit Apparatus","830,864,400","576,473"
"","1,689","","Slime Language 2 Various Artists","829,792,764","335,014"
"","1,690","","Malibu Anderson .Paak","829,582,559","196,164"
"","1,691","","Day & Age The Killers","829,413,788","303,979"
"","1,692","","M.I.L.S 3 Ninho","828,941,061","313,944"
"","1,693","","Guerra Carlos Rivera","828,723,074","322,498"
"","1,694","","Wish The Cure","826,114,324","521,544"
"","1,695","","Machine Head Deep Purple","825,297,063","364,227"
"","1,696","","K.O.B. Live Aventura","824,465,502","1,189,111"
"","1,697","","Drops Of Jupiter Train","822,474,190","579,705"
"","1,698","","California Blink-182","822,401,874","153,974"
"","1,699","","Tribute John Newman","822,023,899","403,605"
"","1,700","","Onka's Big Moka Toploader","820,892,782","447,069"
"","1,701","","Wolfgang Amadeus Phoenix Phoenix","820,507,222","376,446"
"","1,702","","In Your Honor Foo Fighters","819,584,876","349,305"
"","1,703","","Goldmine Gabby Barrett","816,761,290","332,152"
"","1,704","","Yourself Or Someone Like You Matchbox Twenty","816,255,405","486,962"
"","1,705","","Menos É Mais (Ao Vivo) Henrique & Juliano","816,121,160","341,712"
"","1,706","","Elvis Various Artists","815,022,768","535,406"
"","1,707","","Temporada De Reggaetón 2 Duki","814,909,306","579,047"
"","1,708","","Stars Dance Selena Gomez","814,366,190","256,493"
"","1,709","","Goodies Ciara","813,312,128","533,511"
"","1,710","","Terra Sem Cep (Ao Vivo) Jorge & Mateus","811,211,388","137,953"
"","1,711","","Long Term Effects Of Suffering Suicideboys","811,187,291","686,837"
"","1,712","","A Hard Day's Night The Beatles","811,095,457","485,113"
"","1,713","","Shake The Snow Globe Russ","810,928,629","149,708"
"","1,714","","L.A. Woman The Doors","810,728,453","336,383"
"","1,715","","8 Letters Why Don't We","810,630,160","322,489"
"","1,716","","Aries Luis Miguel","810,612,897","467,708"
"","1,717","","El Mal Querer Rosalía","810,502,107","261,278"
"","1,718","","At What Cost GoldLink","810,287,558","520,295"
"","1,719","","Royalty Chris Brown","810,141,401","150,033"
"","1,720","","Las Leyendas Nunca Mueren Anuel AA","810,001,659","626,019"
"","1,721","","Eliminator ZZ Top","809,678,245","393,390"
"","1,722","","Get Born Jet","809,307,961","416,239"
"","1,723","","O Embaixador (Ao Vivo) Gusttavo Lima","809,261,235","142,804"
"","1,724","","Zaba Glass Animals","808,527,056","247,240"
"","1,725","","Sail Out Jhené Aiko","808,440,591","824,542"
"","1,726","","High School Musical Various Artists","807,885,480","362,201"
"","1,727","","We All Shine YNW Melly","807,298,039","218,697"
"","1,728","","20 Capo Plaza","806,739,347","223,505"
"","1,729","","Give Or Take Giveon","806,595,000","682,214"
"","1,730","","A Gangsta's Pain Moneybagg Yo","806,188,730","600,900"
"","1,731","","It Won't Be Soon Before Long Maroon 5","806,095,040","350,163"
"","1,732","","Rockstar Sfera Ebbasta","805,436,076","240,544"
"","1,733","","Sticky Fingers The Rolling Stones","805,203,983","337,298"
"","1,734","","Everytime We Touch Cascada","805,018,735","453,002"
"","1,735","","Listen Up! The Official 2010 FIFA World Cup Album Various Artists","804,470,175","330,452"
"","1,736","","The Young And The Hopeless Good Charlotte","804,452,753","390,814"
"","1,737","","Yours Russell Dickerson","804,155,790","139,391"
"","1,738","","Wounded Rhymes Lykke Li","803,769,573","432,943"
"","1,739","","Make My Bed King Princess","803,151,400","134,413"
"","1,740","","What Do You Think About The Car? Declan McKenna","802,719,551","851,273"
"","1,741","","Recuerden Mi Estilo Los Plebes Del Rancho De Ariel Camacho","801,938,527","341,933"
"","1,742","","Playlist Salmo","801,725,325","157,267"
"","1,743","","Good Music - Cruel Summer Kanye West & Various Artists","801,507,876","280,669"
"","1,744","","The Book 2 Yoasobi","801,146,706","519,354"
"","1,745","","A Modern Tragedy Vol. 1 Grandson","799,453,033","278,863"
"","1,746","","White Pony Deftones","799,213,956","849,449"
"","1,747","","Reik Reik","799,178,261","706,086"
"","1,748","","Perfect Timing Nav","798,882,549","123,088"
"","1,749","","Ripcord Keith Urban","798,756,023","198,603"
"","1,750","","PartyNextDoor Two PartyNextDoor","798,709,562","914,709"
"","1,751","","Madvillainy MF Doom & Madlib","798,299,653","605,763"
"","1,752","","Virgo World Lil Tecca","798,239,871","664,301"
"","1,753","","Titanic James Horner","797,614,453","346,471"
"","1,754","","Split Decision Dave & Central Cee","797,468,711","1,311,760"
"","1,755","","Absolution Muse","797,468,624","426,641"
"","1,756","","Sounds Of Silence Simon & Garfunkel","797,002,196","430,912"
"","1,757","","Reise, Reise Rammstein","796,975,162","427,938"
"","1,758","","Máquina Do Tempo Matuê","796,770,684","660,056"
"","1,759","","Grandson, Vol. 1 King Von","796,159,718","973,418"
"","1,760","","Dolls Bella Poarch","795,512,975","390,345"
"","1,761","","Mon Cœur Avait Raison Gims","795,403,654","404,812"
"","1,762","","Can't Buy A Thrill Steely Dan","795,331,543","562,800"
"","1,763","","Fórmula, Vol. 3 Romeo Santos","794,530,459","859,770"
"","1,764","","Nick Jonas Nick Jonas","794,317,329","244,478"
"","1,765","","Acústico No Rio De Janeiro (Ao Vivo) Natiruts","794,199,975","463,748"
"","1,766","","Shelby Lil Skies","793,741,231","153,504"
"","1,767","","In A Time Lapse Ludovico Einaudi","792,864,842","611,874"
"","1,768","","Seal The Deal & Let's Boogie Volbeat","792,379,326","278,902"
"","1,769","","Ten Thousand Fists Disturbed","791,672,875","390,676"
"","1,770","","Happy Nation / The Sign Ace of Base","790,710,066","1,055,123"
"","1,771","","Ordinary Man Ozzy Osbourne","790,499,298","334,972"
"","1,772","","That's Christmas To Me Pentatonix","790,032,021","34,488"
"","1,773","","Segundo Romance Luis Miguel","789,296,144","669,878"
"","1,774","","Alive And Feeling Fine Lost Frequencies","788,460,795","215,101"
"","1,775","","Attitude Mrs. Green Apple","788,191,794","824,631"
"","1,776","","Hercules Alan Menken","788,170,818","357,062"
"","1,777","","Diplo Diplo","787,772,844","330,755"
"","1,778","","8701 Usher","787,771,267","552,208"
"","1,779","","Thrill Of The Chase Kygo","787,761,788","436,657"
"","1,780","","Get Rich Or Die Tryin' 50 Cent & Various Artists","787,332,348","598,233"
"","1,781","","Dark & Wild BTS","787,256,682","331,183"
"","1,782","","Eres La Persona Correcta En El Momento Equivocado Río Roma","787,244,923","261,049"
"","1,783","","Kala M.I.A.","787,221,516","370,422"
"","1,784","","- Tragedy + Snot","787,114,758","256,102"
"","1,785","","Undertale Toby Fox","787,072,746","573,952"
"","1,786","","The Element Of Freedom Alicia Keys","786,528,960","334,368"
"","1,787","","Doolittle Pixies","785,851,871","466,840"
"","1,788","","Berlin Lebt 2 Capital Bra & Samra","785,847,863","131,709"
"","1,789","","Van Halen Van Halen","785,713,039","408,803"
"","1,790","","Madman Across The Water Elton John","785,571,754","352,557"
"","1,791","","Siamese Dream The Smashing Pumpkins","785,422,050","498,587"
"","1,792","","London Calling The Clash","785,414,582","343,333"
"","1,793","","A Perfect Contradiction Paloma Faith","784,010,401","595,899"
"","1,794","","Mar De Colores Alvaro Soler","783,795,797","132,664"
"","1,795","","The Forever Story JID","783,393,056","2,089,115"
"","1,796","","Beautiful Thugger Girls Young Thug","783,364,251","161,767"
"","1,797","","Manusia Tulus","783,132,590","946,108"
"","1,798","","Best Day Ever Mac Miller","782,992,551","245,974"
"","1,799","","Bookends Simon & Garfunkel","781,843,380","333,389"
"","1,800","","Próxima Estación: Esperanza Manu Chao","781,641,097","655,733"
"","1,801","","30 Aniversario La Adictiva","781,454,279","431,232"
"","1,802","","The Album Haddaway","781,113,454","534,856"
"","1,803","","La Fête Est Finie Orelsan","780,844,935","228,858"
"","1,804","","Coast To Coast Westlife","780,687,840","362,894"
"","1,805","","Forajido EP 1 Christian Nodal","780,240,838","626,550"
"","1,806","","QALF Damso","780,095,623","351,289"
"","1,807","","Made In Lagos Wizkid","780,061,841","527,964"
"","1,808","","Mor, No Le Temas A La Oscuridad Feid","779,966,873","2,226,899"
"","1,809","","Jordin Sparks Jordin Sparks","779,698,252","318,202"
"","1,810","","Disfruté Engañarte La Adictiva","779,666,664","448,320"
"","1,811","","Nostalgia Chase Atlantic","779,594,572","960,253"
"","1,812","","Elvis' Christmas Album Elvis Presley","779,582,684","23,291"
"","1,813","","Il Ballo Della Vita Måneskin","779,313,589","388,930"
"","1,814","","Out Of Our Heads The Rolling Stones","778,952,600","431,194"
"","1,815","","Help Ever Hurt Never Fujii Kaze","778,665,200","596,742"
"","1,816","","Head In The Clouds Various Artists","777,978,423","132,458"
"","1,817","","Lil Boat 3.5 Lil Yachty","777,854,693","893,950"
"","1,818","","Transformer Lou Reed","777,496,040","302,082"
"","1,819","","The Sufferer & The Witness Rise Against","777,236,629","347,904"
"","1,820","","Dañado Ivan Cornejo","775,726,086","1,087,635"
"","1,821","","Unplugged Eric Clapton","775,614,088","255,053"
"","1,822","","Be Not Nobody Vanessa Carlton","775,026,692","427,818"
"","1,823","","Blizzard Of Ozz Ozzy Osbourne","774,789,443","510,954"
"","1,824","","Aashiqui 2 (आशिकी 2) Jeet Gannguli, Mithoon & Ankit Tiwari","774,676,776","1,223,523"
"","1,825","","Providence Hippie Sabotage","774,648,452","362,061"
"","1,826","","LLNM2 Anuel AA","774,235,752","721,872"
"","1,827","","Euphoria Season 2 Labrinth","773,559,889","555,696"
"","1,828","","My Own Lane Kid Ink","772,978,867","180,324"
"","1,829","","Map Of The Soul: 7 - The Journey BTS","772,652,161","176,084"
"","1,830","","Dimension: Dilemma / Answer Enhypen","772,591,726","703,234"
"","1,831","","La Nena De Argentina Maria Becerra","772,224,811","783,490"
"","1,832","","Todo Cambio Camila","772,153,319","794,994"
"","1,833","","The World From The Side Of The Moon Phillip Phillips","771,676,535","325,665"
"","1,834","","Brahmāstra: Part One - Shiva (ब्रह्मास्त्र: पहला भाग — शिवा) Pritam","771,169,848","614,924"
"","1,835","","Sincopa Cartel De Santa","770,977,076","400,572"
"","1,836","","Girl Maren Morris","770,956,646","165,702"
"","1,837","","Play Moby","770,833,128","395,003"
"","1,838","","Conditions The Temper Trap","770,802,087","372,168"
"","1,839","","Church Of Scars Bishop Briggs","770,556,832","318,495"
"","1,840","","Rain And Thunderstorm Rain Fruits Sounds","770,132,028","0"
"","1,841","","La Flaca Jarabe De Palo","770,108,663","439,460"
"","1,842","","Face The Sun / Sector 17 Seventeen","769,830,132","889,757"
"","1,843","","We're All Alone In This Together Dave","769,168,984","498,292"
"","1,844","","...But Seriously Phil Collins","768,941,279","482,906"
"","1,845","","Una Mattina Ludovico Einaudi","768,902,711","385,843"
"","1,846","","Still Over It Summer Walker","768,615,820","608,668"
"","1,847","","Playa Saturno Rauw Alejandro","768,601,637","2,383,283"
"","1,848","","All Over The Place KSI","767,519,483","143,042"
"","1,849","","Some Hearts Carrie Underwood","766,423,511","547,170"
"","1,850","","Lovestrong. Christina Perri","765,940,600","241,727"
"","1,851","","All The Things I Never Said Tate McRae","765,889,866","437,265"
"","1,852","","The Party Album! Vengaboys","765,311,514","395,941"
"","1,853","","Kiss Land The Weeknd","764,933,989","304,759"
"","1,854","","Led Zeppelin Led Zeppelin","764,679,670","298,230"
"","1,855","","Taxi Driver Rkomi","764,457,806","283,352"
"","1,856","","Magna Carta... Holy Grail Jay-Z","764,330,004","188,578"
"","1,857","","Mulan Matthew Wilder & Jerry Goldsmith","764,256,104","303,941"
"","1,858","","There Is Nothing Left To Lose Foo Fighters","764,105,433","402,649"
"","1,859","","Beach House 3 Ty Dolla Sign","763,999,266","62,294"
"","1,860","","Black Sunday Cypress Hill","763,946,372","377,786"
"","1,861","","Revelación Selena Gomez","763,586,296","132,376"
"","1,862","","Camino Palmero The Calling","763,516,070","462,695"
"","1,863","","Awake Illenium","763,261,308","186,500"
"","1,864","","Unbroken Demi Lovato","762,814,577","223,473"
"","1,865","","Love At First Sting Scorpions","762,766,949","138,243"
"","1,866","","Who Cares? Rex Orange County","762,493,045","585,696"
"","1,867","","Back To The Game Paulo Londra","762,399,394","354,852"
"","1,868","","The Voice Of The Heroes Lil Baby & Lil Durk","762,294,980","408,299"
"","1,869","","Cottonwood 2 NLE Choppa","762,267,475","1,473,842"
"","1,870","","Five Seconds Flat Lizzy McAlpine","760,707,680","1,207,268"
"","1,871","","Alchemical: Volume 1 Dove Cameron","760,285,753","754,017"
"","1,872","","Whitney Houston Whitney Houston","760,115,482","402,033"
"","1,873","","Pain Is Love Ja Rule","759,845,794","404,160"
"","1,874","","The Dock Of The Bay Otis Redding","759,764,221","551,319"
"","1,875","","I Can't Handle Change Roar","758,755,228","655,434"
"","1,876","","Brent Jeremy Zucker & Chelsea Cutler","758,648,064","209,286"
"","1,877","","Suga Megan Thee Stallion","758,287,610","181,173"
"","1,878","","23 Central Cee","758,109,764","560,657"
"","1,879","","Believe Cher","757,903,191","467,508"
"","1,880","","Face Value Phil Collins","757,771,514","346,467"
"","1,881","","Solstis León Larregui","757,581,487","636,110"
"","1,882","","Portals Melanie Martinez","757,257,452","1,215,460"
"","1,883","","On The 6 Jennifer Lopez","757,075,115","417,234"
"","1,884","","All Out K/DA","756,881,044","413,899"
"","1,885","","Cannibal Kesha","756,284,034","431,814"
"","1,886","","A Song For Every Moon Bruno Major","755,759,118","209,300"
"","1,887","","Relaxing Piano Lullabies And Natural Sleep Aid For Baby Sleep Music Baby Lullaby Academy","755,240,274","252,850"
"","1,888","","Ten Summoner's Tales Sting","754,906,882","493,482"
"","1,889","","Just Cause Y'all Waited 2 Lil Durk","754,714,819","476,402"
"","1,890","","High School Musical 3: Senior Year Various Artists","754,676,439","261,419"
"","1,891","","Does This Look Infected? Sum 41","754,475,278","563,335"
"","1,892","","The New Toronto 3 Tory Lanez","753,695,883","438,685"
"","1,893","","Being Funny In A Foreign Language The 1975","753,497,624","1,093,239"
"","1,894","","Tattoo You The Rolling Stones","752,820,614","523,531"
"","1,895","","Jolene Dolly Parton","752,713,251","519,370"
"","1,896","","Replica Vaundy","752,698,000","866,996"
"","1,897","","Walk The Talk Pamungkas","751,364,499","730,816"
"","1,898","","Decretos Reais Marília Mendonça","750,649,936","391,327"
"","1,899","","Welcome To O'Block King Von","750,464,152","686,508"
"","1,900","","México En La Piel Luis Miguel","746,664,069","487,542"
"","1,901","","Wild World Bastille","746,246,909","180,153"
"","1,902","","Labour Of Love UB40","746,246,437","395,661"
"","1,903","","Go Live Stray Kids","746,029,706","461,465"
"","1,904","","Anthrazit RAF Camora","745,647,859","150,695"
"","1,905","","Kaleidoscope Dream Miguel","745,141,395","417,455"
"","1,906","","Levon James King Von","744,910,789","857,429"
"","1,907","","Hotel Cabana Naughty Boy","744,902,786","284,631"
"","1,908","","How To Be Human Chelsea Cutler","744,830,358","198,514"
"","1,909","","Rebel Yell Billy Idol","744,754,512","761,432"
"","1,910","","America America","744,280,093","431,520"
"","1,911","","De Adentro Pa Afuera Camilo","744,261,216","455,644"
"","1,912","","Persona Marracash","744,204,434","368,210"
"","1,913","","Canción Animal Soda Stereo","743,799,276","594,320"
"","1,914","","True Believers Darius Rucker","743,575,734","418,723"
"","1,915","","Fortune Chris Brown","743,359,581","169,379"
"","1,916","","Grace Jeff Buckley","743,303,380","624,780"
"","1,917","","Soy El Mismo Prince Royce","742,588,481","324,911"
"","1,918","","Little Voice Sara Bareilles","742,444,954","253,563"
"","1,919","","Big Bang Los Enanitos Verdes","742,439,912","770,080"
"","1,920","","These Two Windows Alec Benjamin","742,109,547","192,055"
"","1,921","","No Pads, No Helmets...Just Balls Simple Plan","741,913,659","451,763"
"","1,922","","I Think You Think Too Much Of Me Eden","741,780,413","128,711"
"","1,923","","The Smiths The Smiths","741,354,723","732,332"
"","1,924","","Vices & Virtues Panic! At The Disco","741,169,826","212,356"
"","1,925","","Bad Habits Nav","740,031,151","96,925"
"","1,926","","Hombres G (Devuélveme A Mi Chica) Hombres G","739,985,267","666,761"
"","1,927","","R&G (Rhythm & Gangsta): The Masterpiece Snoop Dogg","739,959,884","353,504"
"","1,928","","Rock Of The Westies Elton John","739,775,086","558,470"
"","1,929","","Femme Fatale Britney Spears","739,661,319","348,776"
"","1,930","","Aquarium Aqua","739,611,133","421,568"
"","1,931","","Shine Estelle","739,058,451","440,126"
"","1,932","","Bleach Nirvana","737,533,825","787,254"
"","1,933","","MM...Food MF Doom","735,499,135","828,504"
"","1,934","","Privilegio Alfredo Olivas","734,991,569","605,080"
"","1,935","","Extreme II: Pornograffitti Extreme","734,889,485","329,382"
"","1,936","","System Of A Down System Of A Down","734,650,066","593,632"
"","1,937","","As She Pleases Madison Beer","734,422,491","113,037"
"","1,938","","Traumazine Megan Thee Stallion","734,215,887","488,827"
"","1,939","","Royal Blood Royal Blood","733,914,330","242,489"
"","1,940","","The End Is Where We Begin Thousand Foot Krutch","733,706,775","453,402"
"","1,941","","Fight Back: The Collection Neffex","733,279,341","360,075"
"","1,942","","Bloom Rüfüs Du Sol","733,180,071","529,291"
"","1,943","","Luan City (Ao Vivo) Luan Santana","732,813,759","313,773"
"","1,944","","Doce 22 Luísa Sonza","732,776,180","337,222"
"","1,945","","Motivando A La Yal Zion & Lennox","732,253,546","442,884"
"","1,946","","Monstercat 027 - Cataclysm Various Artists","731,131,023","162,417"
"","1,947","","Fallin' StaySolidRocky","730,850,284","285,969"
"","1,948","","Never Enough Daniel Caesar","730,836,048","2,275,399"
"","1,949","","Love? Jennifer Lopez","730,766,159","571,141"
"","1,950","","Innuendo Queen","730,568,785","240,511"
"","1,951","","Tem Moda Pra Tudo (Ao Vivo) Matheus & Kauan","730,493,826","262,058"
"","1,952","","TV Tai Verdes","730,448,268","288,239"
"","1,953","","I Used To Know Her H.E.R.","730,428,431","509,028"
"","1,954","","A Charlie Brown Christmas Vince Guaraldi Trio","730,333,867","37,211"
"","1,955","","Visionary Farruko","730,300,182","181,694"
"","1,956","","Beautiful Lies Birdy","730,272,709","254,987"
"","1,957","","Commando Niska","729,967,577","207,065"
"","1,958","","Into The Wild Eddie Vedder","729,275,899","290,194"
"","1,959","","War Is The Answer Five Finger Death Punch","728,855,138","281,380"
"","1,960","","La Cagaste... Burt Lancaster Hombres G","728,650,969","607,095"
"","1,961","","Me Against The World 2Pac","728,647,339","334,102"
"","1,962","","From A Room: Volume 1 Chris Stapleton","728,628,669","606,997"
"","1,964","","We Are Not Your Kind Slipknot","728,042,237","367,821"
"","1,965","","Chama Meu Nome Pedro Sampaio","727,518,848","278,098"
"","1,966","","Yo Te Quiero Pa Mi Dalex","727,029,130","248,563"
"","1,967","","The 2nd Law Muse","726,423,230","192,932"
"","1,968","","Zoo Russ","726,408,969","119,705"
"","1,969","","Nothings Ever Good Enough Iann Dior","726,249,683","170,584"
"","1,970","","The Lo-Fis Steve Lacy","726,200,432","894,692"
"","1,971","","Commodores Commodores","725,990,312","451,256"
"","1,972","","The ReVe Festival: Finale Red Velvet","724,995,540","275,614"
"","1,973","","D-Day Agust D","724,394,968","1,575,110"
"","1,974","","Peligro Reik","724,329,436","390,595"
"","1,975","","Katrina And The Waves Katrina & The Waves","724,279,968","439,867"
"","1,976","","Amo Bring Me The Horizon","724,108,093","261,205"
"","1,977","","Doll Domination The Pussycat Dolls","724,084,818","332,008"
"","1,978","","These Things Happen Too G-Eazy","723,994,914","169,438"
"","1,979","","From The Fires Greta Van Fleet","723,790,021","322,503"
"","1,980","","Black Panther: Wakanda Forever Various Artists","723,613,203","578,770"
"","1,981","","Brother Love's Travelling Salvation Show / Sweet Caroline Neil Diamond","723,102,292","307,805"
"","1,982","","Duality Duke Dumont","723,091,384","346,956"
"","1,983","","Atrapado En Un Sueño Junior H","722,981,692","482,520"
"","1,984","","Soy Lo Que Quiero... Indispensable Julión Álvarez Y Su Norteño Banda","722,948,083","1,225,163"
"","1,985","","Forever Don Diablo","722,899,863","177,377"
"","1,986","","Gang Signs & Prayer Stormzy","722,829,082","126,853"
"","1,987","","Festa Das Patroas Marília Mendonça & Maiara & Maraisa","722,749,092","148,132"
"","1,988","","Free TC Ty Dolla Sign","722,739,733","75,092"
"","1,989","","Rompiendo Fronteras Alejandro Fernández","722,717,154","244,592"
"","1,990","","Nostalgia, Ultra Frank Ocean","722,703,679","760,768"
"","1,991","","So Wrong, It's Right All Time Low","722,425,085","394,980"
"","1,992","","Finding Beauty In Negative Spaces Seether","722,306,343","386,141"
"","1,993","","Center Point Road Thomas Rhett","722,140,951","233,586"
"","1,994","","Sing Me A Lullaby, My Sweet Temptation Suicideboys","721,886,764","987,918"
"","1,995","","Jack In The Box J-Hope","721,414,228","681,327"
"","1,996","","Pineapple Sunrise Beach Weather","721,131,431","1,121,582"
"","1,997","","The Album Klingande","719,998,420","96,428"
"","1,998","","First Love Yiruma","719,420,278","257,018"
"","1,999","","Sucker Charli XCX","719,244,295","209,723"
"","2,000","","Hell: The Sequel Eminem & Royce Da 5'9""","718,324,842","290,592"
"","2,001","","Otro Nivel De Música J Alvarez","717,900,953","674,088"
"","2,002","","Chapter One Ella Henderson","717,602,924","132,314"
"","2,003","","Pegasus / Neon Shark VS Pegasus Trippie Redd","717,467,107","260,388"
"","2,004","","Have A Holly Jolly Christmas Burl Ives","717,239,677","17,478"
"","2,005","","Caravana WOS","716,995,227","361,574"
"","2,006","","What Is Love? / Summer Nights Twice","716,409,888","372,831"
"","2,007","","Licensed To Ill Beastie Boys","716,342,418","413,664"
"","2,008","","Savage Garden Savage Garden","715,660,306","380,356"
"","2,009","","Blu Celeste Blanco","714,662,653","190,205"
"","2,010","","40oz. To Freedom Sublime","713,996,004","372,975"
"","2,011","","Majestic Luciano","713,589,274","526,864"
"","2,012","","Tapestry Carole King","713,411,856","322,010"
"","2,013","","Amar Es Combatir Maná","713,407,493","588,069"
"","2,014","","The Pains Of Growing Alessia Cara","713,006,733","142,459"
"","2,015","","Pop Food Jack Stauber","712,654,306","248,017"
"","2,016","","Border: Carnival Enhypen","712,495,924","569,480"
"","2,017","","Buena Vista Social Club Buena Vista Social Club","712,372,216","299,344"
"","2,018","","Ahí Vamos Gustavo Cerati","711,194,166","548,983"
"","2,019","","Humbug Arctic Monkeys","710,800,305","385,860"
"","2,020","","Beauty And The Beast Alan Menken","710,377,049","255,086"
"","2,021","","Sensational Yung Gravy","709,815,163","115,318"
"","2,022","","Come Around Sundown Kings of Leon","709,659,358","293,067"
"","2,023","","Carnival Bryce Vine","709,346,829","150,354"
"","2,024","","iSouljaBoyTellem Soulja Boy","709,234,532","419,598"
"","2,025","","Ma Fleur The Cinematic Orchestra","709,135,755","530,730"
"","2,026","","Disintegration The Cure","708,622,483","436,148"
"","2,027","","Gabriel Keshi","708,560,541","896,463"
"","2,028","","Freya Ridings Freya Ridings","707,874,888","227,217"
"","2,029","","Yeh Jawaani Hai Deewani (ये जवानी है दीवानी) Pritam","707,376,688","849,760"
"","2,030","","American Dream 21 Savage","707,286,952","8,334,432"
"","2,031","","Hellbilly Deluxe Rob Zombie","707,246,836","648,409"
"","2,032","","Suck It and See Arctic Monkeys","705,891,464","262,019"
"","2,033","","Walls Kings of Leon","705,488,568","243,078"
"","2,034","","Naive Andy Grammer","705,247,159","229,553"
"","2,035","","Sigan Hablando Fuerza Regida","705,073,158","719,670"
"","2,036","","Come Clean Puddle Of Mudd","703,693,590","410,691"
"","2,037","","Christina Aguilera Christina Aguilera","703,050,168","499,619"
"","2,038","","I'm Not Dead P!nk","702,972,256","386,318"
"","2,039","","Let's Talk About Love Céline Dion","702,710,341","331,218"
"","2,040","","Point Of Know Return Kansas","702,573,661","389,141"
"","2,041","","Weird! Yungblud","702,492,235","243,980"
"","2,042","","ENR Alex Rose","702,483,688","335,129"
"","2,043","","Navegando Mike Bahía","702,303,648","271,990"
"","2,044","","Marchand De Sable Vegedream","702,261,946","198,936"
"","2,045","","Piseiro 2020 Ao Vivo Os Barões Da Pisadinha","702,121,682","81,044"
"","2,046","","Left Of The Middle Natalie Imbruglia","700,923,532","495,585"
